job_seed,n_rounds,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type","ESS","median_MC_err"
1,7,LogisticRegression,MCMC,Float64,512,1.676811923,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.704026276363518
1,7,LogisticRegression,MCMC,Float64,1024,2.204466281,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.717127641693196
1,7,LogisticRegression,MCMC,Float64,2048,1.686497856,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.747802925206313
1,7,LogisticRegression,MCMC,Float64,4096,1.69569026,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.736815272504408
1,7,LogisticRegression,MCMC,Float64,8192,2.059560462,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.747594635369872
1,7,LogisticRegression,MCMC,Float64,16384,2.428480476,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.739855214037462
1,7,LogisticRegression,MCMC,Float64,32768,4.819217037,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.7316370582831
4,9,LogisticRegression,MCMC,Float64,1,2.882645357,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
4,9,LogisticRegression,MCMC,Float64,2,3.350689583,"LogisticRegression",MCMC,GPU,"Float64",2.0,-4.210599500004533
4,9,LogisticRegression,MCMC,Float64,4,3.802462844,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.6264270907197247
4,9,LogisticRegression,MCMC,Float64,8,4.257452093,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.10016378477953
4,9,LogisticRegression,MCMC,Float64,16,4.809553136,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.81190941957286
4,9,LogisticRegression,MCMC,Float64,32,5.480643948,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.749375869082426
4,9,LogisticRegression,MCMC,Float64,64,5.679566702,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.79792797177494
4,9,LogisticRegression,MCMC,Float64,128,5.974602995,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.80455560065127
4,9,LogisticRegression,MCMC,Float64,256,6.72547906,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.776010810137173
4,9,LogisticRegression,MCMC,Float64,512,6.719538753,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.767911667003867
4,9,LogisticRegression,MCMC,Float64,1024,7.259442137,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.764685227519065
4,9,LogisticRegression,MCMC,Float64,2048,6.735412553,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.754362440271647
4,9,LogisticRegression,MCMC,Float64,4096,6.765414811,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.74918093879522
4,9,LogisticRegression,MCMC,Float64,8192,8.244470257,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.74156783407646
4,9,LogisticRegression,MCMC,Float64,16384,9.656048479,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.741045051430826
4,9,LogisticRegression,MCMC,Float64,32768,19.292078757,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.738185892251535
4,12,LogisticRegression,MCMC,Float64,1,22.613676953,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
4,12,LogisticRegression,MCMC,Float64,2,26.269707037,"LogisticRegression",MCMC,GPU,"Float64",2.0,-4.4157064998006765
4,12,LogisticRegression,MCMC,Float64,4,29.912554994,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.517714845626589
4,12,LogisticRegression,MCMC,Float64,8,33.606535621,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.052196201268151
4,12,LogisticRegression,MCMC,Float64,16,37.949596205,"LogisticRegression",MCMC,GPU,"Float64",16.0,-5.003750475497721
4,12,LogisticRegression,MCMC,Float64,32,43.424651708,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.901047866290187
4,12,LogisticRegression,MCMC,Float64,64,44.757234206,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.810116647719288
4,12,LogisticRegression,MCMC,Float64,128,47.794245185,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.7641407686179695
4,12,LogisticRegression,MCMC,Float64,256,53.47621245,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.804224324513813
4,12,LogisticRegression,MCMC,Float64,512,54.160410824,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.768756476111495
4,12,LogisticRegression,MCMC,Float64,1024,55.108534119,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.719928776005352
4,12,LogisticRegression,MCMC,Float64,2048,54.691933657,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.733211836550264
4,12,LogisticRegression,MCMC,Float64,4096,54.767392591,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.745823727595006
4,12,LogisticRegression,MCMC,Float64,8192,66.744484707,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.75110218364442
4,12,LogisticRegression,MCMC,Float64,16384,79.028887325,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.749972299224346
4,12,LogisticRegression,MCMC,Float64,32768,156.462335723,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.737066252798137
10,11,LogisticRegression,MCMC,Float64,1,11.340619842,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
10,11,LogisticRegression,MCMC,Float64,2,13.205032726,"LogisticRegression",MCMC,GPU,"Float64",2.0,-4.481419388657343
10,11,LogisticRegression,MCMC,Float64,4,14.999449691,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.5631113297212997
10,11,LogisticRegression,MCMC,Float64,8,16.847581877,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.103505984068171
10,11,LogisticRegression,MCMC,Float64,16,19.20059719,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.990955539290789
10,11,LogisticRegression,MCMC,Float64,32,21.817683634,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.813719652027809
10,11,LogisticRegression,MCMC,Float64,64,22.035630189,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.765383214309267
10,11,LogisticRegression,MCMC,Float64,128,24.107824247,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.744623264823173
10,11,LogisticRegression,MCMC,Float64,256,26.920985748,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.766803695014135
10,11,LogisticRegression,MCMC,Float64,512,26.941450004,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.728729274225538
10,11,LogisticRegression,MCMC,Float64,1024,27.42123033,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.728985768696994
10,11,LogisticRegression,MCMC,Float64,2048,27.028619581,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.752671544192028
10,11,LogisticRegression,MCMC,Float64,4096,27.173455688,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.745079981854373
10,11,LogisticRegression,MCMC,Float64,8192,32.974420604,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.74334915376994
10,11,LogisticRegression,MCMC,Float64,16384,38.919227265,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.737140103053505
10,11,LogisticRegression,MCMC,Float64,32768,77.807936169,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.74201055375019
9,14,LogisticRegression,MCMC,Float64,1,90.477674246,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
9,14,LogisticRegression,MCMC,Float64,2,105.0879719,"LogisticRegression",MCMC,GPU,"Float64",2.0,-4.317012855461702
9,14,LogisticRegression,MCMC,Float64,4,119.828857223,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.8446104134218446
9,14,LogisticRegression,MCMC,Float64,8,134.602459992,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.3328034278904015
9,14,LogisticRegression,MCMC,Float64,16,155.182790827,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.999896624212205
