job_seed,n_rounds,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type","ESS","median_MC_err"
7,8,LogisticRegression,SAIS,Float64,8,2.2381122,"LogisticRegression",SAIS,GPU,"Float64",2.8479423829469197,-2.7153735201310765
7,8,LogisticRegression,SAIS,Float64,16,2.528840902,"LogisticRegression",SAIS,GPU,"Float64",5.787066899331716,-3.410100185924388
7,8,LogisticRegression,SAIS,Float64,32,2.813108728,"LogisticRegression",SAIS,GPU,"Float64",13.460824951241355,-4.529322161559853
7,8,LogisticRegression,SAIS,Float64,64,2.907050867,"LogisticRegression",SAIS,GPU,"Float64",13.707439745935714,-4.3702903138919735
7,8,LogisticRegression,SAIS,Float64,128,3.132174154,"LogisticRegression",SAIS,GPU,"Float64",45.38867364714127,-5.932329517900653
7,8,LogisticRegression,SAIS,Float64,256,3.499181569,"LogisticRegression",SAIS,GPU,"Float64",69.80779322340962,-6.604628227166053
7,8,LogisticRegression,SAIS,Float64,512,3.528108518,"LogisticRegression",SAIS,GPU,"Float64",115.23994020827935,-7.2740530194735715
7,8,LogisticRegression,SAIS,Float64,1024,3.535849797,"LogisticRegression",SAIS,GPU,"Float64",263.2903451550957,-8.372690747832342
7,8,LogisticRegression,SAIS,Float64,2048,3.531501791,"LogisticRegression",SAIS,GPU,"Float64",496.1851295075238,-9.44651639454535
7,8,LogisticRegression,SAIS,Float64,4096,3.522048218,"LogisticRegression",SAIS,GPU,"Float64",1089.3538972678796,-10.548279701681029
7,8,LogisticRegression,SAIS,Float64,8192,4.262530951,"LogisticRegression",SAIS,GPU,"Float64",2097.5899780446243,-11.425036469454067
7,8,LogisticRegression,SAIS,Float64,16384,4.930358963,"LogisticRegression",SAIS,GPU,"Float64",3796.8877451748604,-12.266003685386567
7,8,LogisticRegression,SAIS,Float64,32768,9.76395747,"LogisticRegression",SAIS,GPU,"Float64",6944.610558436825,-13.187077678651296
7,8,LogisticRegression,SAIS,Float64,65536,18.815952243,"LogisticRegression",SAIS,GPU,"Float64",14289.37658669671,-14.233086968621178
7,8,LogisticRegression,SAIS,Float64,131072,34.718107011,"LogisticRegression",SAIS,GPU,"Float64",27854.98423070402,-15.168982712982528
7,8,LogisticRegression,SAIS,Float64,262144,65.909913671,"LogisticRegression",SAIS,GPU,"Float64",54748.91482191548,-16.13483392041176
7,8,LogisticRegression,SAIS,Float64,524288,131.64888279,"LogisticRegression",SAIS,GPU,"Float64",108573.64132700028,-17.155700347021973
7,8,LogisticRegression,SAIS,Float64,1048576,262.280740221,"LogisticRegression",SAIS,GPU,"Float64",218946.84165380773,-18.177378779996342
6,8,LogisticRegression,SAIS,Float64,1,1.389965167,"LogisticRegression",SAIS,GPU,"Float64",1.0,-Inf
6,8,LogisticRegression,SAIS,Float64,2,1.673534668,"LogisticRegression",SAIS,GPU,"Float64",1.0258187766383526,-1.4911171121212288
6,8,LogisticRegression,SAIS,Float64,4,1.959162634,"LogisticRegression",SAIS,GPU,"Float64",3.5204847174928857,-3.436905444124401
6,8,LogisticRegression,SAIS,Float64,8,2.241050088,"LogisticRegression",SAIS,GPU,"Float64",5.455294860440024,-3.814798151888099
6,8,LogisticRegression,SAIS,Float64,16,2.540164884,"LogisticRegression",SAIS,GPU,"Float64",6.880787275096425,-3.484072884113919
6,8,LogisticRegression,SAIS,Float64,32,2.840081798,"LogisticRegression",SAIS,GPU,"Float64",13.48019580894272,-4.1576502829415425
6,8,LogisticRegression,SAIS,Float64,64,2.866188439,"LogisticRegression",SAIS,GPU,"Float64",23.205455459458108,-5.120052196680555
6,8,LogisticRegression,SAIS,Float64,128,3.100930385,"LogisticRegression",SAIS,GPU,"Float64",44.58817791010475,-5.7792293777887735
6,8,LogisticRegression,SAIS,Float64,256,3.512970494,"LogisticRegression",SAIS,GPU,"Float64",78.30247993855288,-6.926591247294936
6,8,LogisticRegression,SAIS,Float64,512,3.510120599,"LogisticRegression",SAIS,GPU,"Float64",149.58286824765386,-7.614010462175028
6,8,LogisticRegression,SAIS,Float64,1024,3.516516083,"LogisticRegression",SAIS,GPU,"Float64",229.87368110964994,-8.370761505097374
6,8,LogisticRegression,SAIS,Float64,2048,3.515333334,"LogisticRegression",SAIS,GPU,"Float64",510.74754371772997,-9.35850332512061
