job_seed,job_model,job_elt_type,"N","time","model","type","backend","elt_type","chain_length","max_Rhat","med_Rhat","max_Rhat2","med_Rhat2"
1,LogisticRegression,Float32,1024,13.938105894,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
1,LogisticRegression,Float32,2048,13.382445119,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
1,LogisticRegression,Float32,4096,13.379059168,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
1,LogisticRegression,Float32,8192,13.479766948,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
1,LogisticRegression,Float32,16384,16.268075963,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
1,LogisticRegression,Float32,32768,31.91808314,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
5,LogisticRegression,Float32,1024,15.230762163,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
5,LogisticRegression,Float32,2048,13.282878311,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
5,LogisticRegression,Float32,4096,13.312064566,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
5,LogisticRegression,Float32,8192,13.384723572,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
5,LogisticRegression,Float32,16384,16.242809426,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
5,LogisticRegression,Float32,32768,31.789345693,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
1,LogisticRegression,Float64,1024,13.46679742,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0291645846614894,1.0150864503499752,1.0298595586606276,1.015237427979181
1,LogisticRegression,Float64,2048,12.989702168,"LogisticRegression",MCMC,GPU,"Float64",1000,1.013180121164888,1.0072223595871868,1.0135636722384727,1.0073017562153748
1,LogisticRegression,Float64,4096,13.021106861,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0113307546624,1.0076423055850463,1.011286576664189,1.0075080745271814
1,LogisticRegression,Float64,8192,15.820890345,"LogisticRegression",MCMC,GPU,"Float64",1000,1.00592046880226,1.0038252118581847,1.0062479269462363,1.0037366709042557
1,LogisticRegression,Float64,16384,18.657322336,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0050050676265834,1.0037866004230747,1.005659731241311,1.0037292660833281
1,LogisticRegression,Float64,32768,37.325178995,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0027997712323757,1.0019723894122081,1.0027891834139082,1.0019377495509318
9,LogisticRegression,Float64,1024,15.030136098,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0245015447811663,1.0147092314583879,1.032613749869488,1.0147497039876547
9,LogisticRegression,Float64,2048,12.953568968,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0164036277979136,1.0074757868321385,1.0180617008155295,1.00732431170291
9,LogisticRegression,Float64,4096,13.001552814,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0122377181994466,1.0076960870009515,1.0131920664375087,1.0074885782392964
9,LogisticRegression,Float64,8192,15.835384576,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0057477777317978,1.0038529953274131,1.0055924739279163,1.0037539440303678
9,LogisticRegression,Float64,16384,18.686539922,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0053795808599073,1.0038483822344415,1.0051274743935377,1.00383131575739
9,LogisticRegression,Float64,32768,37.241792691,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0024584141788018,1.0019354537407024,1.0024850861993004,1.0019483620107983
2,LogisticRegression,Float32,1024,13.912845569,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
2,LogisticRegression,Float32,2048,13.39269609,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
2,LogisticRegression,Float32,4096,13.391213809,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
2,LogisticRegression,Float32,8192,13.534016317,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
2,LogisticRegression,Float32,16384,16.273034506,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
2,LogisticRegression,Float32,32768,31.964775551,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
3,LogisticRegression,Float32,1024,15.296795311,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
3,LogisticRegression,Float32,2048,13.265662678,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
3,LogisticRegression,Float32,4096,13.309757933,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
3,LogisticRegression,Float32,8192,13.46203338,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
3,LogisticRegression,Float32,16384,16.333047214,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
3,LogisticRegression,Float32,32768,31.759145952,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
9,LogisticRegression,Float32,1024,15.415094663,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
9,LogisticRegression,Float32,2048,13.476167346,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
9,LogisticRegression,Float32,4096,13.357680167,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
9,LogisticRegression,Float32,8192,13.558343887,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
9,LogisticRegression,Float32,16384,16.288360721,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
9,LogisticRegression,Float32,32768,31.934564577,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
8,LogisticRegression,Float64,1024,13.530454974,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0265472395608115,1.0151489582823716,1.0262112428949213,1.0152065456783674
8,LogisticRegression,Float64,2048,12.846504925,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0135097269223594,1.0074924699242407,1.014497231334219,1.0074722889826697
8,LogisticRegression,Float64,4096,12.898106202,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0118592136189717,1.0074281702391197,1.0119951457435865,1.007490333915102
8,LogisticRegression,Float64,8192,15.800001662,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0054839200122414,1.0039463328461662,1.0060935679055478,1.003939398886036
8,LogisticRegression,Float64,16384,18.640289728,"LogisticRegression",MCMC,GPU,"Float64",1000,1.006077975041603,1.00386699845778,1.0051486375147611,1.0038803332579107
8,LogisticRegression,Float64,32768,37.221850459,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0027284672188337,1.0019147709928258,1.0025108020907136,1.0019212074631887
7,LogisticRegression,Float64,1024,15.040539655,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0246873502178602,1.015278223943469,1.0313955934991217,1.015636550727204
7,LogisticRegression,Float64,2048,13.03096313,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0139388727203231,1.0078456908646145,1.0152483235976524,1.0079810823183113
7,LogisticRegression,Float64,4096,13.039891999,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0114623440159738,1.0078824435763272,1.0116004721170524,1.0077604808774328
7,LogisticRegression,Float64,8192,15.905838082,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0056571680342876,1.0038099818832982,1.006124705228965,1.0038389078841128
7,LogisticRegression,Float64,16384,18.739472143,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0049734395921748,1.0039041230379098,1.005315856497996,1.003884240959224
7,LogisticRegression,Float64,32768,37.16600043,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0027713918546413,1.0019998218892678,1.0028550560755185,1.0020182831980753
2,LogisticRegression,Float64,1024,26.080495899,"LogisticRegression",MCMC,GPU,"Float64",2000,1.0286819583397793,1.016032794938814,1.0309790928364861,1.0161668432456947
2,LogisticRegression,Float64,2048,13.048834571,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0143065367377253,1.0073241617251907,1.0151057936454684,1.0073519215145814
2,LogisticRegression,Float64,4096,13.042093459,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0114293699928882,1.0074219680083099,1.0117946618998122,1.0074853787915918
2,LogisticRegression,Float64,8192,15.939903266,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0058802589843823,1.0038146970351813,1.0057643769140754,1.003843098239733
